status,challenge,victim,attacker,flag,ts
duplicated,zblog,10.0.70.3:80,wangyihang,6fdd2cd2880508c20d3e8d722c6e2fb4,1537066235.9
duplicated,zblog,10.0.66.3:80,wangyihang,ce7aec8a9a9b7be292ac57f8b271cbcf,1537066235.93
duplicated,zblog,10.0.65.3:80,wangyihang,c141218df3ec4d5dc671ee7e9ccc146f,1537066235.97
duplicated,zblog,10.0.72.3:80,wangyihang,9e658309c4886bbc3e31bcd50308f0df,1537066236.04
duplicated,zblog,10.0.71.3:80,wangyihang,c5e2e074a7721e02ade863cd65b6b264,1537066236.06
duplicated,zblog,10.0.73.3:80,wangyihang,404b53c8c5a051b031d383632239e9a7,1537066236.12
duplicated,zblog,10.0.74.3:80,wangyihang,83583ba59227ffd2728d58db0687f609,1537066236.15
duplicated,zblog,10.0.77.3:80,wangyihang,79473916caa11c2be358ee53e1c03d1d,1537066236.22
duplicated,zblog,10.0.75.3:80,wangyihang,8c2b49d8446af1931290ae10d2295322,1537066236.23
duplicated,zblog,10.0.68.3:80,wangyihang,b93808f2667336e2e3da2f3f8f7de83e,1537066236.23
duplicated,zblog,10.0.76.3:80,wangyihang,9f88119e437e15143db452971854b612,1537066236.26
duplicated,zblog,10.0.80.3:80,wangyihang,392603b1d31ce1dd7f4582e20594b618,1537066236.28
duplicated,zblog,10.0.83.3:80,wangyihang,6b32aa2145f3d15b7c2c8d28e42092b7,1537066236.34
duplicated,zblog,10.0.78.3:80,wangyihang,a16d8027a1b1d721374af193cf2dc469,1537066236.39
duplicated,zblog,10.0.79.3:80,wangyihang,037af3936ba56e4c2616ab7ae4e7f23a,1537066236.42
duplicated,zblog,10.0.84.3:80,wangyihang,97a949761a206a0c2a9a08d991cc3956,1537066236.44
duplicated,zblog,10.0.82.3:80,wangyihang,3e9d2f069271f02c5c12f33952acd2e1,1537066236.44
duplicated,zblog,10.0.87.3:80,wangyihang,56ce9d6f19d263762b092cb07fe58243,1537066236.56
